"order_number";"product_key";"customer_key";"order_date";"shipping_date";"due_date";"sales_amount";"quantity";"price"
"SO43697";18;10769;"2010-12-29";"2011-01-05";"2011-01-10";3578;1;3578
"SO43698";7;17390;"2010-12-29";"2011-01-05";"2011-01-10";3400;1;3400
"SO43699";7;14864;"2010-12-29";"2011-01-05";"2011-01-10";3400;1;3400
"SO43700";45;3502;"2010-12-29";"2011-01-05";"2011-01-10";699;1;699
"SO43701";7;4;"2010-12-29";"2011-01-05";"2011-01-10";3400;1;3400
"SO43702";14;16646;"2010-12-30";"2011-01-06";"2011-01-11";3578;1;3578
"SO43703";18;5625;"2010-12-30";"2011-01-06";"2011-01-11";3578;1;3578
"SO43704";4;6;"2010-12-30";"2011-01-06";"2011-01-11";3375;1;3375
"SO43705";5;12;"2010-12-30";"2011-01-06";"2011-01-11";3400;1;3400
"SO43706";15;16622;"2010-12-31";"2011-01-07";"2011-01-12";3578;1;3578
"SO43707";15;16617;"2010-12-31";"2011-01-07";"2011-01-12";3578;1;3578
"SO43708";48;9043;"2010-12-31";"2011-01-07";"2011-01-12";699;1;699
"SO43709";16;5352;"2010-12-31";"2011-01-07";"2011-01-12";3578;1;3578
"SO43710";17;5518;"2010-12-31";"2011-01-07";"2011-01-12";3578;1;3578
"SO43711";17;16607;"2011-01-01";"2011-01-08";"2011-01-13";3578;1;3578
"SO43712";14;2514;"2011-01-01";"2011-01-08";"2011-01-13";3578;1;3578
"SO43713";18;16602;"2011-01-02";"2011-01-09";"2011-01-14";3578;1;3578
"SO43714";14;2592;"2011-01-02";"2011-01-09";"2011-01-14";3578;1;3578
"SO43715";17;5484;"2011-01-02";"2011-01-09";"2011-01-14";3578;1;3578
"SO43716";14;5530;"2011-01-02";"2011-01-09";"2011-01-14";3578;1;3578
"SO43717";45;14250;"2011-01-02";"2011-01-09";"2011-01-14";699;1;699
"SO43718";14;16669;"2011-01-03";"2011-01-10";"2011-01-15";3578;1;3578
"SO43719";15;16613;"2011-01-03";"2011-01-10";"2011-01-15";3578;1;3578
"SO43720";14;2265;"2011-01-03";"2011-01-10";"2011-01-15";3578;1;3578
"SO43721";18;2591;"2011-01-03";"2011-01-10";"2011-01-15";3578;1;3578
"SO43722";15;2582;"2011-01-04";"2011-01-11";"2011-01-16";3578;1;3578
"SO43723";43;3521;"2011-01-04";"2011-01-11";"2011-01-16";699;1;699
"SO43724";14;5521;"2011-01-04";"2011-01-11";"2011-01-16";3578;1;3578
"SO43725";14;2259;"2011-01-05";"2011-01-12";"2011-01-17";3578;1;3578
"SO43726";43;3561;"2011-01-05";"2011-01-12";"2011-01-17";699;1;699
"SO43727";14;5608;"2011-01-05";"2011-01-12";"2011-01-17";3578;1;3578
"SO43728";16;16667;"2011-01-06";"2011-01-13";"2011-01-18";3578;1;3578
